Campagne;Region;Site;Famille;Variete;Num Parcelle;Code Traçabilité;Date;Qté eau (m3)
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;22/06/21;86,4499
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;24/06/21;87,8354
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;27/06/21;86,7883
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;01/07/21;88,3007
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;02/07/21;99,2365
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;03/07/21;114,4268
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;04/07/21;108,4272
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;05/07/21;124,5037
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;06/07/21;106,4495
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;07/07/21;113,3660
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;08/07/21;107,3802
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;09/07/21;118,0833
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;11/07/21;104,0064
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;12/07/21;128,0884
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;13/07/21;111,7853
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;14/07/21;75,6890
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;15/07/21;75,9975
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;16/07/21;74,6606
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;18/07/21;74,4550
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;19/07/21;79,6817
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;20/07/21;76,7174
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;22/07/21;74,5578
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;23/07/21;79,7970
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;25/07/21;74,2493
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;26/07/21;80,3736
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;27/07/21;76,3060
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;28/07/21;75,4833
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;29/07/21;89,7779
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;01/08/21;101,1929
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;02/08/21;109,2020
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;03/08/21;102,8383
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;04/08/21;109,8939
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;05/08/21;99,9589
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;06/08/21;108,6255
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;08/08/21;108,9714
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;09/08/21;101,5014
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;10/08/21;111,7389
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;11/08/21;102,3241
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;12/08/21;110,3552
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;13/08/21;207,7334
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;15/08/21;105,1008
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;18/08/21;75,0692
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;19/08/21;72,6039
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;20/08/21;75,6458
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;22/08/21;77,3755
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;23/08/21;71,4726
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;24/08/21;76,6836
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;26/08/21;75,4151
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;27/08/21;71,4726
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;29/08/21;73,5294
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;01/09/21;75,2998
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;02/09/21;71,7812
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;03/09/21;74,8386
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;05/09/21;71,7812
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;06/09/21;66,7421
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;07/09/21;71,8840
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;08/09/21;66,8449
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;09/09/21;71,9868
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;10/09/21;100,7816
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;12/09/21;105,4093
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;13/09/21;105,7178
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;14/09/21;105,6150
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;15/09/21;106,9519
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;16/09/21;105,3065
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;17/09/21;105,6150
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;19/09/21;105,9235
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;20/09/21;105,6150
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;21/09/21;105,3065
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;22/09/21;105,6150
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;23/09/21;105,3065
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;24/09/21;105,6150
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;26/09/21;106,4377
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;27/09/21;105,3065
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;28/09/21;82,2707
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;29/09/21;84,3274
20/21;TADLA;Bni Ayat;ORA;ORA1;20306;TR20200;30/09/21;92,5545
20/21;TADLA;Bni Ayat;ORA;ORA5;10401;TR10200;01/10/20;206,6002
20/21;TADLA;Bni Ayat;ORA;ORA5;10401;TR10200;02/10/20;205,6793
20/21;TADLA;Bni Ayat;ORA;ORA5;10401;TR10200;04/10/20;205,2188
20/21;TADLA;Bni Ayat;ORA;ORA5;10401;TR10200;05/10/20;179,4321
20/21;TADLA;Bni Ayat;ORA;ORA5;10401;TR10200;06/10/20;173,5994
20/21;TADLA;Bni Ayat;ORA;ORA5;10401;TR10200;07/10/20;221,0285
20/21;TADLA;Bni Ayat;ORA;ORA5;10401;TR10200;08/10/20;174,3669
20/21;TADLA;Bni Ayat;ORA;ORA5;10401;TR10200;11/10/20;178,0507
20/21;TADLA;Bni Ayat;ORA;ORA5;10401;TR10200;12/10/20;178,8182
20/21;TADLA;Bni Ayat;ORA;ORA5;10401;TR10200;13/10/20;184,1904
20/21;TADLA;Bni Ayat;ORA;ORA5;10401;TR10200;14/10/20;185,7253
20/21;TADLA;Bni Ayat;ORA;ORA5;10401;TR10200;15/10/20;133,3973
20/21;TADLA;Bni Ayat;ORA;ORA5;10401;TR10200;16/10/20;133,0671
20/21;TADLA;Bni Ayat;ORA;ORA5;10401;TR10200;18/10/20;134,2778
20/21;TADLA;Bni Ayat;ORA;ORA5;10401;TR10200;19/10/20;132,7369
20/21;TADLA;Bni Ayat;ORA;ORA5;10401;TR10200;20/10/20;133,2873
20/21;TADLA;Bni Ayat;ORA;ORA5;10401;TR10200;21/10/20;133,6174
20/21;TADLA;Bni Ayat;ORA;ORA5;10401;TR10200;30/12/20;221,8886
20/21;TADLA;Bni Ayat;ORA;ORA5;10401;TR10200;31/12/20;369,8144
20/21;TADLA;Bni Ayat;ORA;ORA5;10401;TR10200;01/01/21;211,8728
20/21;TADLA;Bni Ayat;ORA;ORA5;10401;TR10200;02/01/21;95,8656
20/21;TADLA;Bni Ayat;ORA;ORA5;10401;TR10200;03/01/21;95,4253
20/21;TADLA;Bni Ayat;ORA;ORA5;10401;TR10200;03/02/21;63,3967
20/21;TADLA;Bni Ayat;ORA;ORA5;10401;TR10200;04/02/21;56,1325
20/21;TADLA;Bni Ayat;ORA;ORA5;10401;TR10200;18/02/21;60,4250
20/21;TADLA;Bni Ayat;ORA;ORA5;10401;TR10200;23/02/21;79,2459
20/21;TADLA;Bni Ayat;ORA;ORA5;10401;TR10200;25/02/21;39,6230
20/21;TADLA;Bni Ayat;ORA;ORA5;10401;TR10200;02/03/21;62,5162
20/21;TADLA;Bni Ayat;ORA;ORA5;10401;TR10200;04/03/21;39,8431
20/21;TADLA;Bni Ayat;ORA;ORA5;10401;TR10200;16/03/21;37,6418
20/21;TADLA;Bni Ayat;ORA;ORA5;10401;TR10200;18/03/21;86,2900
20/21;TADLA;Bni Ayat;ORA;ORA5;10401;TR10200;22/03/21;43,3651
20/21;TADLA;Bni Ayat;ORA;ORA5;10401;TR10200;23/03/21;65,8181
20/21;TADLA;Bni Ayat;ORA;ORA5;10401;TR10200;24/03/21;64,7175
20/21;TADLA;Bni Ayat;ORA;ORA5;10401;TR10200;25/03/21;65,0477
20/21;TADLA;Bni Ayat;ORA;ORA5;10401;TR10200;26/03/21;61,6357
20/21;TADLA;Bni Ayat;ORA;ORA5;10401;TR10200;28/03/21;164,2152
20/21;TADLA;Bni Ayat;ORA;ORA5;10401;TR10200;29/03/21;175,2216
