Campagne;Region;Site;Famille;Variete;Num Parcelle;Code Traçabilité;Date;Qté eau (m3)
20/21;GHARB;Douar Oued Mahdouma;AF;AF1;11011;TR11011;01/10/20;185,4000
20/21;GHARB;Douar Oued Mahdouma;AF;AF1;11011;TR11011;02/10/20;186,6000
20/21;GHARB;Douar Oued Mahdouma;AF;AF1;11011;TR11011;04/10/20;184,2000
20/21;GHARB;Douar Oued Mahdouma;AF;AF1;11011;TR11011;05/10/20;183,6000
20/21;GHARB;Douar Oued Mahdouma;AF;AF1;11011;TR11011;06/10/20;180,9000
20/21;GHARB;Douar Oued Mahdouma;AF;AF1;11011;TR11011;07/10/20;186,0000
20/21;GHARB;Douar Oued Mahdouma;AF;AF1;11011;TR11011;08/10/20;186,3000
20/21;GHARB;Douar Oued Mahdouma;AF;AF1;11011;TR11011;09/10/20;183,0000
20/21;GHARB;Douar Oued Mahdouma;AF;AF1;11011;TR11011;11/10/20;183,9000
20/21;GHARB;Douar Oued Mahdouma;AF;AF1;11011;TR11011;12/10/20;276,9000
20/21;GHARB;Douar Oued Mahdouma;AF;AF1;11011;TR11011;13/10/20;275,1000
20/21;GHARB;Douar Oued Mahdouma;AF;AF1;11011;TR11011;14/10/20;275,4000
20/21;GHARB;Douar Oued Mahdouma;AF;AF1;11011;TR11011;15/10/20;276,3000
20/21;GHARB;Douar Oued Mahdouma;AF;AF1;11011;TR11011;16/10/20;273,0000
20/21;GHARB;Douar Oued Mahdouma;AF;AF1;11011;TR11011;18/10/20;269,7000
20/21;GHARB;Douar Oued Mahdouma;AF;AF1;11011;TR11011;19/10/20;177,6000
20/21;GHARB;Douar Oued Mahdouma;AF;AF1;11011;TR11011;20/10/20;179,1000
20/21;GHARB;Douar Oued Mahdouma;AF;AF1;11011;TR11011;21/10/20;178,2000
20/21;GHARB;Douar Oued Mahdouma;AF;AF1;11011;TR11011;23/10/20;89,7000
20/21;GHARB;Douar Oued Mahdouma;AF;AF1;11011;TR11011;25/10/20;180,3000
20/21;GHARB;Douar Oued Mahdouma;AF;AF1;11011;TR11011;26/10/20;177,6000
20/21;GHARB;Douar Oued Mahdouma;AF;AF1;11011;TR11011;27/10/20;88,2000
20/21;GHARB;Douar Oued Mahdouma;AF;AF1;11011;TR11011;28/10/20;89,4000
20/21;GHARB;Douar Oued Mahdouma;AF;AF1;11011;TR11011;01/11/20;87,6000
20/21;GHARB;Douar Oued Mahdouma;AF;AF1;11011;TR11011;02/11/20;87,9000
20/21;GHARB;Douar Oued Mahdouma;AF;AF1;11011;TR11011;03/11/20;88,5000
20/21;GHARB;Douar Oued Mahdouma;AF;AF1;11011;TR11011;04/11/20;87,9000
20/21;GHARB;Douar Oued Mahdouma;AF;AF1;11011;TR11011;06/11/20;86,7000
20/21;GHARB;Douar Oued Mahdouma;AF;AF1;11011;TR11011;09/11/20;87,6000
20/21;GHARB;Douar Oued Mahdouma;AF;AF1;11011;TR11011;11/11/20;87,9000
