Campagne;Region;Site;Famille;Variete;Num Parcelle;Code Traçabilité;Date;Qté eau (m3)
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;19/06/22;25,5359
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;20/06/22;27,6896
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;21/06/22;27,6896
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;22/06/22;28,1291
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;23/06/22;27,6896
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;24/06/22;27,6896
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;25/06/22;27,4259
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;26/06/22;25,4920
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;27/06/22;27,2501
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;28/06/22;27,1622
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;29/06/22;27,2501
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;30/06/22;27,5138
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;01/07/22;27,2501
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;02/07/22;27,0303
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;03/07/22;26,6347
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;04/07/22;20,4815
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;05/07/22;27,1622
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;06/07/22;27,0303
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;07/07/22;26,5908
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;08/07/22;26,8105
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;09/07/22;30,3267
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;10/07/22;32,5243
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;11/07/22;30,7662
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;12/07/22;27,2501
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;13/07/22;28,1291
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;14/07/22;13,1855
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;16/07/22;21,8879
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;17/07/22;30,2388
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;18/07/22;30,3267
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;19/07/22;30,5904
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;20/07/22;22,5472
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;21/07/22;22,6791
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;22/07/22;31,6452
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;23/07/22;31,4694
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;24/07/22;30,5904
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;25/07/22;31,4694
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;26/07/22;30,7662
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;27/07/22;30,2388
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;28/07/22;30,2388
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;29/07/22;29,5355
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;30/07/22;22,2396
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;31/07/22;30,6783
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;01/08/22;30,4146
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;02/08/22;30,5904
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;03/08/22;27,6896
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;04/08/22;23,5142
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;05/08/22;26,4589
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;06/08/22;26,8105
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;07/08/22;26,3710
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;08/08/22;29,3158
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;09/08/22;27,0742
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;10/08/22;23,3384
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;11/08/22;25,3601
21/22;HAOUZ;Marrakech;CLA;CLA16;20109;TR20109;12/08/22;25,4920
