Campagne;Region;Site;Famille;Variete;Num Parcelle;Code Traçabilité;Date;Qté eau (m3)
21/22;ORIENTAL;Cherraa;CLA;CLA5;11023;TR11200;27/07/22;25,6041
21/22;ORIENTAL;Cherraa;CLA;CLA5;11023;TR11200;28/07/22;29,6469
21/22;ORIENTAL;Cherraa;CLA;CLA5;11023;TR11200;29/07/22;29,5812
21/22;ORIENTAL;Cherraa;CLA;CLA5;11023;TR11200;30/07/22;25,9657
21/22;ORIENTAL;Cherraa;CLA;CLA5;11023;TR11200;31/07/22;29,5483
21/22;ORIENTAL;Cherraa;CLA;CLA5;11023;TR11200;01/08/22;29,7126
21/22;ORIENTAL;Cherraa;CLA;CLA5;11023;TR11200;02/08/22;29,6140
21/22;ORIENTAL;Cherraa;CLA;CLA5;11023;TR11200;03/08/22;21,4299
21/22;ORIENTAL;Cherraa;CLA;CLA5;11023;TR11200;04/08/22;25,4398
21/22;ORIENTAL;Cherraa;CLA;CLA5;11023;TR11200;05/08/22;25,7685
21/22;ORIENTAL;Cherraa;CLA;CLA5;11023;TR11200;06/08/22;25,5713
21/22;ORIENTAL;Cherraa;CLA;CLA5;11023;TR11200;07/08/22;25,1111
21/22;ORIENTAL;Cherraa;CLA;CLA5;11023;TR11200;08/08/22;24,9797
21/22;ORIENTAL;Cherraa;CLA;CLA5;11023;TR11200;09/08/22;25,0125
21/22;ORIENTAL;Cherraa;CLA;CLA5;11023;TR11200;10/08/22;24,8482
21/22;ORIENTAL;Cherraa;CLA;CLA5;11023;TR11200;11/08/22;24,8153
21/22;ORIENTAL;Cherraa;CLA;CLA5;11023;TR11200;13/08/22;45,1935
21/22;ORIENTAL;Cherraa;CLA;CLA5;11023;TR11200;15/08/22;58,0777
21/22;ORIENTAL;Cherraa;CLA;CLA5;11023;TR11200;17/08/22;45,3907
21/22;ORIENTAL;Cherraa;CLA;CLA5;11023;TR11200;19/08/22;44,6018
21/22;ORIENTAL;Cherraa;CLA;CLA5;11023;TR11200;21/08/22;36,7135
