Campagne;Region;Site;Famille;Variete;Num Parcelle;Code Traçabilité;Date;Qté eau (m3)
20/21;HAOUZ;Ouled Moussa;AF;AF1;50171 ;TR50000;04/09/21;47,1055
20/21;HAOUZ;Ouled Moussa;AF;AF1;50171 ;TR50000;05/09/21;47,2955
20/21;HAOUZ;Ouled Moussa;AF;AF1;50171 ;TR50000;06/09/21;47,8867
20/21;HAOUZ;Ouled Moussa;AF;AF1;50171 ;TR50000;07/09/21;47,4856
20/21;HAOUZ;Ouled Moussa;AF;AF1;50171 ;TR50000;08/09/21;47,7601
20/21;HAOUZ;Ouled Moussa;AF;AF1;50171 ;TR50000;09/09/21;46,9577
20/21;HAOUZ;Ouled Moussa;AF;AF1;50171 ;TR50000;10/09/21;47,4856
20/21;HAOUZ;Ouled Moussa;AF;AF1;50171 ;TR50000;11/09/21;47,1055
20/21;HAOUZ;Ouled Moussa;AF;AF1;50171 ;TR50000;12/09/21;47,6123
20/21;HAOUZ;Ouled Moussa;AF;AF1;50171 ;TR50000;13/09/21;46,6621
20/21;HAOUZ;Ouled Moussa;AF;AF1;50171 ;TR50000;14/09/21;48,0134
20/21;HAOUZ;Ouled Moussa;AF;AF1;50171 ;TR50000;15/09/21;47,4645
20/21;HAOUZ;Ouled Moussa;AF;AF1;50171 ;TR50000;16/09/21;47,3378
20/21;HAOUZ;Ouled Moussa;AF;AF1;50171 ;TR50000;17/09/21;47,4222
20/21;HAOUZ;Ouled Moussa;AF;AF1;50171 ;TR50000;18/09/21;47,3167
20/21;HAOUZ;Ouled Moussa;AF;AF1;50171 ;TR50000;20/09/21;48,1612
20/21;HAOUZ;Ouled Moussa;AF;AF1;50171 ;TR50000;21/09/21;48,4146
20/21;HAOUZ;Ouled Moussa;AF;AF1;50171 ;TR50000;22/09/21;47,5911
20/21;HAOUZ;Ouled Moussa;AF;AF1;50171 ;TR50000;23/09/21;47,5911
20/21;HAOUZ;Ouled Moussa;AF;AF1;50171 ;TR50000;24/09/21;47,4222
20/21;HAOUZ;Ouled Moussa;AF;AF1;50171 ;TR50000;25/09/21;47,7812
20/21;HAOUZ;Ouled Moussa;AF;AF1;50171 ;TR50000;27/09/21;47,4222
20/21;HAOUZ;Ouled Moussa;AF;AF1;50171 ;TR50000;28/09/21;47,5489
20/21;HAOUZ;Ouled Moussa;AF;AF1;50171 ;TR50000;29/09/21;47,9712
20/21;HAOUZ;Ouled Moussa;AF;AF1;50172 ;TR50000;01/10/20;36,6748
20/21;HAOUZ;Ouled Moussa;AF;AF1;50172 ;TR50000;02/10/20;37,0060
20/21;HAOUZ;Ouled Moussa;AF;AF1;50172 ;TR50000;03/10/20;36,9176
20/21;HAOUZ;Ouled Moussa;AF;AF1;50172 ;TR50000;04/10/20;41,0466
20/21;HAOUZ;Ouled Moussa;AF;AF1;50172 ;TR50000;05/10/20;36,8514
20/21;HAOUZ;Ouled Moussa;AF;AF1;50172 ;TR50000;06/10/20;37,0501
20/21;HAOUZ;Ouled Moussa;AF;AF1;50172 ;TR50000;07/10/20;36,9176
20/21;HAOUZ;Ouled Moussa;AF;AF1;50172 ;TR50000;08/10/20;37,0943
20/21;HAOUZ;Ouled Moussa;AF;AF1;50172 ;TR50000;09/10/20;36,5423
20/21;HAOUZ;Ouled Moussa;AF;AF1;50172 ;TR50000;10/10/20;36,1433
20/21;HAOUZ;Ouled Moussa;AF;AF1;50172 ;TR50000;11/10/20;32,6341
20/21;HAOUZ;Ouled Moussa;AF;AF1;50172 ;TR50000;12/10/20;36,6085
20/21;HAOUZ;Ouled Moussa;AF;AF1;50172 ;TR50000;13/10/20;31,0885
20/21;HAOUZ;Ouled Moussa;AF;AF1;50172 ;TR50000;14/10/20;36,6968
20/21;HAOUZ;Ouled Moussa;AF;AF1;50172 ;TR50000;15/10/20;22,5215
20/21;HAOUZ;Ouled Moussa;AF;AF1;50172 ;TR50000;16/10/20;36,6968
20/21;HAOUZ;Ouled Moussa;AF;AF1;50172 ;TR50000;17/10/20;32,4354
20/21;HAOUZ;Ouled Moussa;AF;AF1;50172 ;TR50000;18/10/20;40,6050
20/21;HAOUZ;Ouled Moussa;AF;AF1;50172 ;TR50000;19/10/20;36,6748
20/21;HAOUZ;Ouled Moussa;AF;AF1;50172 ;TR50000;20/10/20;36,7189
20/21;HAOUZ;Ouled Moussa;AF;AF1;50172 ;TR50000;21/10/20;36,6306
20/21;HAOUZ;Ouled Moussa;AF;AF1;50172 ;TR50000;23/10/20;36,3877
20/21;HAOUZ;Ouled Moussa;AF;AF1;50172 ;TR50000;24/10/20;36,4319
20/21;HAOUZ;Ouled Moussa;AF;AF1;50172 ;TR50000;26/10/20;36,8293
20/21;HAOUZ;Ouled Moussa;AF;AF1;50172 ;TR50000;27/10/20;36,6306
20/21;HAOUZ;Ouled Moussa;AF;AF1;50172 ;TR50000;28/10/20;32,2146
20/21;HAOUZ;Ouled Moussa;AF;AF1;50172 ;TR50000;29/10/20;34,7096
20/21;HAOUZ;Ouled Moussa;AF;AF1;50172 ;TR50000;30/10/20;35,8357
