Campagne;Region;Site;Famille;Variete;Num Parcelle;Code Traçabilité;Date;Qté eau (m3)
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;06/11/22;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;07/11/22;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;08/11/22;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;09/11/22;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;11/11/22;577,8000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;12/11/22;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;13/11/22;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;14/11/22;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;15/11/22;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;17/11/22;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;18/11/22;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;19/11/22;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;20/11/22;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;21/11/22;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;22/11/22;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;23/11/22;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;25/11/22;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;26/11/22;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;27/11/22;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;28/11/22;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;29/11/22;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;30/11/22;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;01/12/22;247,5000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;03/12/22;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;04/12/22;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;05/12/22;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;26/12/22;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;27/12/22;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;30/12/22;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;31/12/22;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;01/01/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;02/01/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;03/01/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;04/01/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;06/01/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;08/01/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;10/01/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;14/01/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;16/01/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;18/01/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;20/01/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;21/01/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;22/01/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;23/01/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;25/01/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;29/01/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;30/01/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;31/01/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;01/02/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;03/02/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;04/02/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;05/02/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;06/02/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;07/02/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;08/02/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;10/02/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;12/02/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;13/02/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;14/02/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;15/02/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;18/02/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;19/02/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;20/02/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;21/02/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;22/02/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;04/03/23;144,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;05/03/23;144,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;06/03/23;144,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;07/03/23;144,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;08/03/23;144,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;11/03/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;12/03/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;13/03/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;14/03/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;15/03/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;17/03/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;18/03/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;19/03/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;20/03/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;21/03/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;22/03/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;24/03/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;25/03/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;26/03/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;27/03/23;192,6000
