Campagne;Region;Site;Famille;Variete;Num Parcelle;Code Traçabilité;Date;Qté eau (m3)
22/23;HAOUZ;Marrakech;NOA;NOA1;12020;TR11803;20/07/23;33,1284
22/23;HAOUZ;Marrakech;NOA;NOA1;12020;TR11803;21/07/23;33,1865
22/23;HAOUZ;Marrakech;NOA;NOA1;12020;TR11803;22/07/23;33,1284
22/23;HAOUZ;Marrakech;NOA;NOA1;12020;TR11803;23/07/23;33,1284
22/23;HAOUZ;Marrakech;NOA;NOA1;12020;TR11803;24/07/23;32,6053
22/23;HAOUZ;Marrakech;NOA;NOA1;12020;TR11803;25/07/23;33,8258
22/23;HAOUZ;Marrakech;NOA;NOA1;12020;TR11803;26/07/23;33,1284
22/23;HAOUZ;Marrakech;NOA;NOA1;12020;TR11803;27/07/23;33,1865
22/23;HAOUZ;Marrakech;NOA;NOA1;12020;TR11803;28/07/23;33,2446
22/23;HAOUZ;Marrakech;NOA;NOA1;12020;TR11803;29/07/23;33,1865
22/23;HAOUZ;Marrakech;NOA;NOA1;12020;TR11803;30/07/23;33,1865
22/23;HAOUZ;Marrakech;NOA;NOA1;12020;TR11803;31/07/23;32,7797
22/23;HAOUZ;Marrakech;NOA;NOA1;12020;TR11803;01/08/23;32,6634
22/23;HAOUZ;Marrakech;NOA;NOA1;12020;TR11803;02/08/23;26,7352
22/23;HAOUZ;Marrakech;NOA;NOA1;12020;TR11803;03/08/23;26,7933
22/23;HAOUZ;Marrakech;NOA;NOA1;12020;TR11803;04/08/23;26,7352
22/23;HAOUZ;Marrakech;NOA;NOA1;12020;TR11803;05/08/23;22,4924
22/23;HAOUZ;Marrakech;NOA;NOA1;12020;TR11803;06/08/23;26,7352
22/23;HAOUZ;Marrakech;NOA;NOA1;12020;TR11803;07/08/23;26,7933
22/23;HAOUZ;Marrakech;NOA;NOA1;12020;TR11803;08/08/23;20,8070
22/23;HAOUZ;Marrakech;NOA;NOA1;12020;TR11803;09/08/23;20,6907
22/23;HAOUZ;Marrakech;NOA;NOA1;12020;TR11803;10/08/23;20,5745
22/23;HAOUZ;Marrakech;NOA;NOA1;12020;TR11803;11/08/23;20,6907
22/23;HAOUZ;Marrakech;NOA;NOA1;12020;TR11803;12/08/23;22,6668
22/23;HAOUZ;Marrakech;NOA;NOA1;12020;TR11803;13/08/23;22,6668
22/23;HAOUZ;Marrakech;NOA;NOA1;12020;TR11803;14/08/23;23,2480
22/23;HAOUZ;Marrakech;NOA;NOA1;12020;TR11803;15/08/23;22,6668
