Campagne;Region;Site;Famille;Variete;Num Parcelle;CodeTracabilite;Date Plantation;Date Arrachage;Porte Greffe;Sup Debut Camp;Sup Plantee;Sup Arrachee;Sup Fin Camp;;
20/21;GHARB;Chorf Laghouazi;CLA;CLA15;13010;TR11040;01/07/08;;PG6;2,8402;0,0000;0,0000;2,8402;;
20/21;GHARB;Chorf Laghouazi;CLA;CLA15;13020;TR11040;01/07/08;;PG6;0,5804;0,0000;0,0000;0,5804;;
20/21;GHARB;Chorf Laghouazi;CLA;CLA16;11010;TR11030;30/07/08;;PG6;0,7019;0,0000;0,0000;0,7019;;
20/21;GHARB;Chorf Laghouazi;CLA;CLA16;11020;TR11030;30/07/08;;PG6;1,8994;0,0000;0,0000;1,8994;;
20/21;GHARB;Chorf Laghouazi;CLA;CLA16;11030;TR11030;30/07/08;;PG6;1,5790;0,0000;0,0000;1,5790;;
20/21;GHARB;Chorf Laghouazi;ORA;ORA11;23010;TR11060;01/05/90;;PG5;3,0396;0,0000;0,0000;3,0396;;
20/21;GHARB;Chorf Laghouazi;ORA;ORA11;23020;TR11060;01/05/91;;PG5;2,2843;0,0000;0,0000;2,2843;;
20/21;GHARB;Chorf Laghouazi;ORA;ORA11;23030;TR11070;01/08/19;;PG6;2,3073;0,0000;0,0000;2,3073;;
20/21;GHARB;Chorf Laghouazi;ORA;ORA11;23040;TR23040;15/07/21;;PG7;0,4000;2,2122;0,0000;2,2122;;
20/21;GHARB;Chorf Laghouazi;ORA;ORA14;22010;TR11080;01/05/87;;PG5;2,4602;0,0000;0,0000;2,4602;;
20/21;GHARB;Chorf Laghouazi;ORA;ORA14;22020;TR11080;01/05/87;;PG5;1,3714;0,0000;0,0000;1,3714;;
20/21;GHARB;Chorf Laghouazi;ORA;ORA14;22030;TR11090;01/08/19;;PG7;1,7644;0,0000;0,0000;1,7644;;
20/21;GHARB;Chorf Laghouazi;SPA;SPA1;15010;TR11050;30/07/09;;PG2;0,7023;0,0000;0,0000;0,7023;;
20/21;GHARB;Ben Mansour;AF;AF1;11240;TR11240;17/05/17;;PG3;2,9800;0,0000;0,0000;2,9800;;
20/21;GHARB;Ben Mansour;CLA;CLA13;11130;TR11130;30/07/08;;PG6;2,4021;0,0000;0,0000;2,4021;;
20/21;GHARB;Ben Mansour;CLA;CLA13;11212;TR11212;30/08/09;;PG6;4,2934;0,0000;0,0000;4,2934;;
20/21;GHARB;Ben Mansour;CLA;CLA14;11211;TR11211;03/07/09;;PG6;2,9787;0,0000;0,0000;2,9787;;
20/21;GHARB;Ben Mansour;CLA;CLA15;11140;TR11140;30/07/09;;PG6;4,3971;0,0000;0,0000;4,3971;;
20/21;GHARB;Ben Mansour;CLA;CLA16;11160;TR11160;20/06/09;;PG6;3,2127;0,0000;0,0000;3,2127;;
20/21;GHARB;Ben Mansour;ORA;ORA2;11170;TR11170;01/07/09;;PG6;5,3828;0,0000;0,0000;5,3828;;
20/21;GHARB;Jorf El Melha;CLA;CLA1;14010;TR14000;01/09/11;30/09/50;PG6;3,7486;0,0000;0,0000;3,7486;;
20/21;GHARB;Jorf El Melha;CLA;CLA1;14020;TR14000;01/09/11;30/09/50;PG6;1,5510;0,0000;0,0000;1,5510;;
20/21;GHARB;Jorf El Melha;CLA;CLA1;17010;TR17010;09/07/19;30/09/50;PG7;5,8072;0,0000;0,0000;5,8072;;
20/21;GHARB;Jorf El Melha;CLA;CLA3;18010;TR18010;24/04/20;30/09/50;PG7;2,0062;0,0000;0,0000;2,0062;;
20/21;GHARB;Jorf El Melha;CLA;CLA6;19010;TR19010;18/07/19;30/09/50;PG7;8,8040;0,0000;0,0000;8,8040;;
20/21;GHARB;Jorf El Melha;CLA;CLA7;13010;TR13000;01/09/11;30/09/50;PG2;6,0154;0,0000;0,0000;6,0154;;
20/21;GHARB;Jorf El Melha;CLA;CLA7;13020;TR13000;01/09/11;30/09/50;PG2;1,0414;0,0000;0,0000;1,0414;;
20/21;GHARB;Jorf El Melha;CLA;CLA7;13030;TR13030;01/07/12;30/09/50;PG6;2,5508;0,0000;0,0000;2,5508;;
20/21;GHARB;Jorf El Melha;CLA;CLA14;11010;TR11000;01/09/11;30/09/50;PG7;7,8863;0,0000;0,0000;7,8863;;
20/21;GHARB;Jorf El Melha;CLA;CLA14;11020;TR11000;01/09/11;30/09/50;PG7;0,8775;0,0000;0,0000;0,8775;;
20/21;GHARB;Jorf El Melha;CLA;CLA15;12010;TR12000;01/09/11;30/09/50;PG6;7,0742;0,0000;0,0000;7,0742;;
20/21;GHARB;Jorf El Melha;CLA;CLA15;12020;TR12000;01/09/11;30/09/50;PG6;1,0411;0,0000;0,0000;1,0411;;
20/21;GHARB;Jorf El Melha;ORA;ORA1;16010;TR16000;31/07/16;30/09/50;PG3;5,1160;0,0000;0,0000;5,1160;;
20/21;GHARB;Jorf El Melha;ORA;ORA1;16060;TR16000;11/08/17;30/09/50;PG3;5,2210;0,0000;0,0000;5,2210;;
20/21;GHARB;Jorf El Melha;ORA;ORA4;21010;TR21010;23/06/21;30/09/50;PG7;0,4000;2,8720;0,0000;2,8720;;
20/21;GHARB;Jorf El Melha;ORA;ORA5;21020;TR21020;23/06/21;30/09/71;PG7;0,4000;3,3370;0,0000;3,3370;;
20/21;GHARB;Jorf El Melha;ORA;ORA6;15010;TR15010;25/07/13;30/09/50;PG2;13,8400;0,0000;0,0000;13,8400;;
20/21;GHARB;Jorf El Melha;ORA;ORA7;16020;TR16020;04/08/16;30/09/50;PG3;0,7510;0,0000;0,0000;0,7510;;
20/21;GHARB;Jorf El Melha;ORA;ORA11;16030;TR16030;31/07/16;30/09/50;PG3;1,8850;0,0000;0,0000;1,8850;;
20/21;GHARB;Jorf El Melha;ORA;ORA12;16050;TR16050;05/08/16;30/09/50;PG3;1,9300;0,0000;0,0000;1,9300;;
20/21;GHARB;Jorf El Melha;ORA;ORA13;16040;TR16040;04/08/16;30/09/50;PG3;1,9120;0,0000;0,0000;1,9120;;
20/21;GHARB;Jorf El Melha;SPA;SPA1;18020;TR18020;01/07/20;30/09/50;PG8;1,4271;0,0000;0,0000;1,4271;;
20/21;HAOUZ;Lalla Takerkoust;AF;AF1;10001;TR21010;01/10/91;30/09/60;PG5;14,7256;0,0000;0,0000;14,7256;;
20/21;HAOUZ;Lalla Takerkoust;AF;AF1;10003;TR22050;01/10/92;16/06/21;PG5;7,6060;0,0000;7,6060;0,4000;;
20/21;HAOUZ;Lalla Takerkoust;AF;AF1;10007;TR22141;01/10/00;01/03/40;PG6;11,8300;0,0000;0,0000;11,8300;;
20/21;HAOUZ;Lalla Takerkoust;AF;AF1;10008;TR22220;01/06/14;01/03/40;PG6;7,8760;0,0000;0,0000;7,8760;;
20/21;HAOUZ;Lalla Takerkoust;AF;AF1;10009;TR21040;01/08/15;01/03/40;PG3;8,5000;0,0000;0,0000;8,5000;;
20/21;HAOUZ;Lalla Takerkoust;AF;AF1;10010;TR30099;01/06/16;01/03/40;PG3;9,4510;0,0000;0,0000;9,4510;;
20/21;HAOUZ;Lalla Takerkoust;AF;AF1;10011;TR30100;01/07/17;01/03/40;PG3;15,9910;0,0000;0,0000;15,9910;;
20/21;HAOUZ;Lalla Takerkoust;AF;AF1;10012;TR30101;01/09/17;01/03/40;PG4;15,4300;0,0000;0,0000;15,4300;;
20/21;HAOUZ;Lalla Takerkoust;AF;AF1;10031;TR22130;01/10/98;16/06/21;PG5;2,2432;0,0000;2,2432;0,4000;;
20/21;HAOUZ;Lalla Takerkoust;AF;AF1;10033;TR22142;01/10/03;01/03/40;PG5;0,7485;0,0000;0,0000;0,7485;;
20/21;HAOUZ;Lalla Takerkoust;AF;AF1;10034;TR31040;01/05/09;01/04/40;PG5;4,5232;0,0000;0,0000;4,5232;;
20/21;HAOUZ;Lalla Takerkoust;AF;AF1;10035;TR22031;01/01/94;23/06/21;PG5;1,7120;0,0000;1,7120;0,4000;;
20/21;HAOUZ;Lalla Takerkoust;AF;AF1;10035;TR22031;01/01/94;01/03/40;PG5;1,6880;0,0000;0,0000;1,6880;;
20/21;HAOUZ;Lalla Takerkoust;AF;AF1;22010;TR22010;01/03/98;01/03/40;PG5;0,7360;0,0000;0,0000;0,7360;;
20/21;HAOUZ;Lalla Takerkoust;AF;AF2;20001;TR14020;01/04/04;01/03/40;PG5;1,0156;0,0000;0,0000;1,0156;;
20/21;HAOUZ;Lalla Takerkoust;AF;AF2;20002;TR14030;28/04/04;14/11/23;PG5;1,3945;0,0000;0,0000;1,3945;;
20/21;HAOUZ;Lalla Takerkoust;AF;AF2;20003;TR14040;28/04/04;01/03/40;PG5;0,9463;0,0000;0,0000;0,9463;;
20/21;HAOUZ;Lalla Takerkoust;AF;AF2;20004;TR12030;28/04/04;14/11/23;PG5;0,7966;0,0000;0,0000;0,7966;;
20/21;HAOUZ;Lalla Takerkoust;AF;AF2;20005;TR13020;01/05/05;21/06/21;PG9;1,4235;0,0000;1,4235;0,4000;;
20/21;HAOUZ;Lalla Takerkoust;AF;AF2;20006;TR14010;22/06/09;01/03/40;PG5;1,4878;0,0000;0,0000;1,4878;;
20/21;HAOUZ;Lalla Takerkoust;ORA;ORA3;20007;TR12020;28/04/74;01/03/40;PG5;0,5782;0,0000;0,0000;0,5782;;
20/21;HAOUZ;Lalla Takerkoust;ORA;ORA3;20008;TR13040;28/04/47;01/03/40;PG5;0,4875;0,0000;0,0000;0,4875;;
20/21;HAOUZ;Lalla Takerkoust;ORA;ORA5;10005;TR32010;01/10/94;21/06/21;PG5;7,3102;0,0000;7,3102;0,4000;;
20/21;HAOUZ;Lalla Takerkoust;ORA;ORA5;10005;TR32010;01/10/94;01/03/40;PG5;0,4000;5,0080;0,0000;5,0080;;
20/21;HAOUZ;Lalla Takerkoust;ORA;ORA5;10036;TR22034;01/01/94;01/03/40;PG10;0,7138;0,0000;0,0000;0,7138;;
20/21;HAOUZ;Ait Ourir;MAD;MAD3;23010;TR23010;01/07/14;07/06/23;PG4;1,3330;0,0000;0,0000;1,3330;;
20/21;HAOUZ;Ait Ourir;MAD;MAD3;23020;TR23020;01/07/14;07/06/23;PG4;1,2916;0,0000;0,0000;1,2916;;
20/21;HAOUZ;Ait Ourir;NOA;NOA1;22022;TR22022;30/06/03;07/06/23;PG5;0,4720;0,0000;0,0000;0,4720;;
20/21;HAOUZ;Ait Ourir;NOA;NOA1;22042;TR22042;30/06/03;07/06/23;PG5;0,5110;0,0000;0,0000;0,5110;;
20/21;HAOUZ;Ait Ourir;NOA;NOA1;23040;TR23040;30/06/03;07/06/23;PG5;0,8380;0,0000;0,0000;0,8380;;
20/21;HAOUZ;Ait Ourir;NOA;NOA1;26020;TR26020;01/07/16;20/02/22;PG6;1,2727;0,0000;0,0000;1,2727;;
20/21;HAOUZ;Ait Ourir;ORA;ORA2;23000 ;TR23000;01/03/14;31/12/22;PG4;0,7252;0,0000;0,0000;0,7252;;
20/21;HAOUZ;Ait Ourir;ORA;ORA11;22010;TR22010;30/06/85;31/12/22;PG5;0,6010;0,0000;0,0000;0,6010;;
20/21;HAOUZ;Ait Ourir;ORA;ORA11;22030;TR22030;30/06/85;31/12/22;PG5;1,3354;0,0000;0,0000;1,3354;;
20/21;HAOUZ;Ait Ourir;ORA;ORA11;23030;TR23030;30/06/85;;PG5;2,1442;0,0000;0,0000;2,1442;;
20/21;HAOUZ;Marrakech;AF;AF1;13051;TR13051;20/08/21;;PG7;0,4000;0,7450;0,0000;0,7450;;
20/21;HAOUZ;Marrakech;AF;AF1;13061 ;TR13061;08/08/21;;PG7;0,4000;0,7690;0,0000;0,7690;;
20/21;HAOUZ;Marrakech;AF;AF1;13070;TR13070;08/08/21;;PG7;0,4000;0,7210;0,0000;0,7210;;
20/21;HAOUZ;Marrakech;AF;AF1;13080 ;TR13080;08/08/21;;PG7;0,4000;1,0300;0,0000;1,0300;;
20/21;HAOUZ;Marrakech;AF;AF1;13090;TR13090;08/08/21;;PG7;0,4000;0,7540;0,0000;0,7540;;
20/21;HAOUZ;Marrakech;AF;AF1;13100 ;TR13100;08/08/21;;PG7;0,4000;0,6040;0,0000;0,6040;;
20/21;HAOUZ;Marrakech;AF;AF1;13110 ;TR13110;08/08/21;;PG7;0,4000;0,6670;0,0000;0,6670;;
20/21;HAOUZ;Marrakech;AF;AF1;13120;TR13120;08/08/21;;PG7;0,4000;0,7810;0,0000;0,7810;;
20/21;HAOUZ;Marrakech;AF;AF1;13170;TR13170;08/08/21;;PG7;0,4000;1,7320;0,0000;1,7320;;
20/21;HAOUZ;Marrakech;CLA;CLA8;15060 ;TR11003;30/06/08;21/02/22;PG2;1,0150;0,0000;0,0000;1,0150;;
20/21;HAOUZ;Marrakech;CLA;CLA8;15070 ;TR11003;30/06/08;21/02/22;PG2;0,9550;0,0000;0,0000;0,9550;;
20/21;HAOUZ;Marrakech;CLA;CLA14;12010;TR11402;30/07/08;;PG6;2,0920;0,0000;0,0000;2,0920;;
